"id","genero","edad","ocup","cp","len_cp"
"1483","M","18","4","54481","5"
"1484","M","25","12","07054","5"
"1485","F","25","9","80538","5"
"1486","M","25","16","90638","5"
"1487","M","35","7","07644","5"
"1488","M","25","7","94538","5"
"1489","F","35","2","60201","5"
"1490","M","50","7","90505","5"
"1491","M","18","4","06511","5"
"1492","M","25","12","98102","5"
"1493","F","25","14","60657","5"
"1494","M","25","17","38104","5"
"1495","M","18","0","77341","5"
"1496","M","25","17","94108","5"
"1497","M","50","5","80220","5"
"1498","M","18","4","02139","5"
"1499","M","1","10","19343","5"
"1500","M","25","17","98115","5"
"1501","M","25","11","75801","5"
"1502","M","18","4","12188","5"
"1503","M","25","12","92688","5"
"1504","M","18","19","22030","5"
"1505","M","50","11","90041","5"
"1506","M","25","7","08550","5"
"1507","M","35","17","95476","5"
"1508","F","1","10","94539","5"
"1509","M","1","0","11803","5"
"1510","F","25","1","48067","5"
"1511","M","35","12","08902","5"
"1512","M","25","20","11102","5"
"1513","F","35","16","95003","5"
"1514","M","18","4","97215","5"
"1515","M","25","16","48324","5"
"1516","F","25","12","53154","5"
"1517","M","18","0","10002","5"
"1518","M","25","2","95831","5"
"1519","M","18","4","38120","5"
"1520","M","25","17","94506","5"
"1521","F","25","7","08902","5"
"1522","M","35","20","10025","5"
"1523","M","25","17","95209","5"
"1524","M","18","4","06459","5"
"1525","F","25","16","94706","5"
"1526","M","56","17","80538","5"
"1527","M","18","10","78230","5"
"1528","M","25","15","94903","5"
"1529","M","18","4","97266","5"
"1530","M","25","4","53711","5"
"1531","M","45","17","60462","5"
"1532","M","18","14","43613","5"
"1533","M","45","1","71711","5"
"1534","M","50","12","12184","5"
"1535","F","18","20","90036","5"
"1536","F","35","3","83001","5"
"1537","M","18","20","02446","5"
"1538","M","25","3","22601","5"
"1539","M","25","3","02359","5"
"1540","M","45","0","97214","5"
"1542","M","18","17","12054","5"
"1543","M","25","11","10549","5"
"1544","M","25","12","63146","5"
"1545","M","25","20","20009","5"
"1546","M","25","4","22903","5"
"1547","M","56","13","02115","5"
"1548","M","35","1","53703","5"
"1549","M","35","6","20901","5"
"1550","M","18","4","11580","5"
"1551","M","25","11","20008","5"
"1552","M","45","20","10021","5"
"1553","F","25","15","64116","5"
"1554","F","35","12","17013","5"
"1555","F","18","0","20008","5"
"1556","M","18","4","48073","5"
"1557","F","18","4","10039","5"
"1558","M","18","6","60611","5"
"1559","M","35","8","10014","5"
"1560","F","25","3","85226","5"
"1561","F","18","4","11214","5"
"1562","M","18","20","43611","5"
"1563","F","1","10","87123","5"
"1564","M","50","1","01096","5"
"1565","M","45","17","78731","5"
"1566","M","35","16","77550","5"
"1567","M","25","12","06511","5"
"1568","F","1","10","94086","5"
"1569","F","56","13","07701","5"
"1570","M","18","17","75093","5"
"1571","M","25","20","98033","5"
"1572","F","25","3","02155","5"
"1573","M","1","0","77479","5"
"1574","M","25","6","81007","5"
"1575","F","50","7","94949","5"
"1576","F","45","9","85202","5"
"1578","M","18","4","22201","5"
"1579","M","25","0","60201","5"
"1580","F","18","4","76201","5"
"1581","F","18","4","10003","5"
"1582","M","18","0","10705","5"
"1583","M","35","6","94115","5"
"1584","M","25","19","45701","5"
"1585","M","56","20","92315","5"
"1586","M","45","7","77351","5"
"1587","F","25","3","30308","5"
"1588","M","25","11","22043","5"
"1589","M","25","0","95136","5"
"1590","M","35","1","95003","5"
"1591","M","50","7","26501","5"
"1592","M","35","7","50111","5"
"1593","M","25","16","78411","5"
"1594","F","35","20","10013","5"
"1596","F","18","5","48108","5"
"1597","M","25","12","10002","5"
"1598","M","35","13","76548","5"
"1599","M","25","0","92646","5"
"1600","M","35","7","08234","5"
"1601","M","25","12","83001","5"
"1602","F","25","7","10562","5"
"1603","F","25","0","13326","5"
"1604","M","25","11","50111","5"
"1605","F","18","0","28270","5"
"1606","F","35","3","55405","5"
"1607","M","45","1","02135","5"
"1608","M","25","11","75230","5"
"1609","F","35","9","06830","5"
"1610","M","25","11","55555","5"
"1611","M","25","0","03867","5"
"1612","M","25","17","11354","5"
"1613","M","18","20","61801","5"
"1614","M","35","0","90027","5"
"1615","F","45","7","10022","5"
"1616","M","25","0","16101","5"
"1617","M","25","12","44060","5"
"1618","M","50","0","44139","5"
"1619","M","50","3","48843","5"
"1620","M","25","20","48009","5"
"1621","M","25","4","11423","5"
"1622","M","18","4","53715","5"
"1623","M","50","15","07746","5"
"1624","M","25","0","06810","5"
"1625","M","45","0","04330","5"
"1626","M","18","4","10010","5"
"1627","M","18","17","91505","5"
"1628","M","18","20","90028","5"
"1629","M","18","4","10003","5"
"1630","M","45","17","91355","5"
"1631","F","50","0","94514","5"
"1632","M","25","16","94120","5"
"1633","F","45","7","99701","5"
"1634","F","56","0","38340","5"
"1635","M","25","0","97212","5"
"1636","F","25","19","60612","5"
"1637","M","56","0","90049","5"
"1638","F","18","17","95405","5"
"1639","M","25","17","95405","5"
"1640","M","35","17","95610","5"
"1641","M","25","0","95819","5"
"1642","M","50","13","62002","5"
"1643","M","45","2","90813","5"
"1644","M","18","12","90210","5"
"1645","F","18","9","62225","5"
"1646","M","25","20","90046","5"
"1647","M","18","18","98118","5"
"1648","M","50","14","85202","5"
"1649","M","18","19","98034","5"
"1650","M","25","19","94607","5"
"1651","M","25","12","94520","5"
"1652","M","25","16","98208","5"
"1653","M","18","0","94044","5"
"1654","F","45","0","94114","5"
"1655","M","18","4","94507","5"
"1656","M","25","17","94122","5"
"1657","F","45","0","10022","5"
"1658","F","35","6","94214","5"
"1659","F","18","9","99703","5"
"1660","F","25","2","94577","5"
"1661","M","35","7","80526","5"
"1662","M","25","12","94121","5"
"1663","M","18","4","77845","5"
"1664","F","18","4","76707","5"
"1665","M","45","17","87505","5"
"1666","M","25","14","15241","5"
"1667","M","50","16","98516","5"
"1668","M","35","2","95602","5"
"1669","F","25","17","75006","5"
"1670","F","56","13","95320","5"
"1671","M","35","0","98368","5"
"1672","M","25","17","93933","5"
"1674","M","35","2","95816","5"
"1675","F","25","6","97116","5"
"1676","M","18","4","91301","5"
"1677","M","18","14","97123","5"
"1678","F","18","17","97070","5"
"1679","M","25","12","98052","5"
"1680","M","25","20","95380","5"
"1681","M","18","4","78705","5"
"1682","M","25","2","98102","5"
"1683","F","25","7","98109","5"
"1684","M","18","3","85226","5"
"1685","M","35","12","95833","5"
"1686","M","35","12","94062","5"
"1687","M","25","3","85013","5"
"1688","F","18","4","34243","5"
"1689","M","35","5","98465","5"
"1690","M","35","16","98029","5"
"1691","F","25","17","85301","5"
"1692","M","35","20","97333","5"
"1693","M","25","12","98684","5"
"1694","M","25","12","98116","5"
"1695","M","25","1","97206","5"
"1696","M","35","7","95765","5"
"1697","F","18","4","98052","5"
"1698","M","35","2","97214","5"
"1699","F","25","19","98102","5"
"1700","M","25","20","98119","5"
"1701","F","25","4","97233","5"
"1702","M","18","10","97303","5"
"1703","M","18","15","77047","5"
"1704","M","25","4","98926","5"
"1705","F","18","4","85033","5"
"1706","M","25","20","19134","5"
"1707","M","50","1","95070","5"
"1708","M","25","0","64106","5"
"1709","M","25","0","73147","5"
"1710","M","18","0","94530","5"
"1711","F","18","4","30134","5"
"1712","M","25","0","73003","5"
"1713","M","25","0","47421","5"
"1714","M","25","17","43212","5"
"1715","M","25","16","53406","5"
"1716","M","25","0","43229","5"
"1717","F","50","6","30307","5"
"1718","M","18","4","43235","5"
"1719","M","18","16","60523","5"
"1720","M","18","4","94720","5"
"1721","M","18","19","70043","5"
"1722","M","35","0","72058","5"
"1723","M","35","17","60103","5"
"1724","M","18","4","00961","5"
"1725","M","18","19","67218","5"
"1726","M","25","2","60160","5"
"1727","M","35","16","50317","5"
"1729","M","25","7","53715","5"
"1730","F","18","4","60137","5"
"1731","F","18","0","91601","5"
"1732","M","18","4","13655","5"
"1733","M","18","14","43725","5"
"1734","M","45","17","94602","5"
"1735","M","18","20","30605","5"
"1736","M","56","8","00606","5"
"1737","M","35","20","46614","5"
"1738","M","35","16","30034","5"
"1739","M","56","16","77079","5"
"1740","M","56","1","96153","5"
"1741","M","35","7","91107","5"
"1742","M","25","15","08109","5"
"1743","M","35","17","77566","5"
"1744","M","35","12","50325","5"
"1745","M","45","0","94114","5"
"1746","M","25","4","33157","5"
"1747","M","25","0","90638","5"
"1748","M","50","1","04240","5"
"1749","M","25","2","10040","5"
"1750","M","50","5","10128","5"
"1751","M","35","20","77024","5"
"1752","M","25","3","96813","5"
"1753","M","35","6","90803","5"
"1754","M","18","19","27028","5"
"1755","F","18","4","77005","5"
"1756","F","25","1","75149","5"
"1757","M","25","4","75206","5"
"1759","M","25","16","22112","5"
"1760","F","25","3","90016","5"
"1761","M","35","0","72058","5"
"1762","M","25","14","75230","5"
"1763","M","35","7","76248","5"
"1764","M","18","0","75149","5"
"1765","M","18","4","13655","5"
"1766","F","45","0","94566","5"
"1767","M","25","20","75205","5"
"1768","M","45","16","75067","5"
"1769","M","25","17","75240","5"
"1770","M","35","16","79605","5"
"1771","M","25","17","75044","5"
"1772","M","56","2","90680","5"
"1773","M","18","4","07030","5"
"1774","M","25","17","99003","5"
"1775","M","25","4","70115","5"
"1776","M","25","0","45801","5"
"1777","M","25","20","17022","5"
"1778","M","18","4","94704","5"
"1779","M","18","1","78133","5"
"1780","M","35","1","22181","5"
"1781","F","35","0","08009","5"
"1782","M","45","0","23454","5"
"1783","M","18","4","10027","5"
"1784","M","18","20","18104","5"
"1785","M","18","4","04901","5"
"1786","M","45","1","85721","5"
"1787","M","18","8","90210","5"
"1788","M","45","2","19104","5"
"1789","M","1","10","19116","5"
"1790","M","25","0","19152","5"
"1791","M","18","4","19146","5"
"1792","F","25","2","53523","5"
"1793","M","25","4","20008","5"
"1794","M","25","11","20878","5"
"1795","M","18","17","20724","5"
"1796","M","50","11","20852","5"
"1797","M","35","7","52003","5"
"1798","M","45","11","22204","5"
"1799","M","35","11","70118","5"
"1800","M","18","4","70118","5"
"1801","F","25","6","54729","5"
"1802","M","18","4","22903","5"
"1803","M","25","2","50021","5"
"1804","M","25","7","22314","5"
"1805","M","18","4","22401","5"
"1806","M","18","4","22032","5"
"1807","M","18","17","20742","5"
"1808","F","18","4","22031","5"
"1809","F","25","14","12189","5"
"1810","M","50","13","90210","5"
"1811","M","56","2","08825","5"
"1812","F","25","12","48103","5"
"1813","F","35","6","90035","5"
"1814","M","50","7","10014","5"
"1815","M","1","1","30707","5"
"1816","F","35","9","56007","5"
"1817","M","35","1","53706","5"
"1818","M","1","8","02254","5"
"1819","F","35","12","45249","5"
"1820","M","25","20","50265","5"
"1821","M","25","20","43315","5"
"1822","F","25","0","53713","5"
"1823","F","35","1","92801","5"
"1824","F","18","4","43560","5"
"1825","M","25","7","50310","5"
"1826","M","45","11","49265","5"
"1827","F","25","1","07721","5"
"1828","M","18","4","07030","5"
"1829","M","25","16","07302","5"
"1830","M","18","4","12180","5"
"1831","M","18","4","53190","5"
"1832","F","18","4","14433","5"
"1833","M","18","17","07030","5"
"1834","M","35","5","10990","5"
"1835","M","25","19","11501","5"
"1836","M","25","0","10016","5"
"1837","M","25","2","08817","5"
"1838","M","35","7","10011","5"
"1839","M","18","4","07940","5"
"1840","M","25","12","11217","5"
"1841","M","18","0","95037","5"
"1842","M","18","4","53190","5"
"1843","M","25","12","10014","5"
"1844","F","18","4","53711","5"
"1845","M","25","2","10002","5"
"1846","M","45","12","95051","5"
"1847","M","18","4","60047","5"
"1848","M","35","5","10011","5"
"1849","M","35","7","11747","5"
"1850","M","18","5","12582","5"
"1851","M","25","19","59602","5"
"1852","M","25","12","10036","5"
"1853","M","50","0","90803","5"
"1854","M","25","0","92346","5"
"1855","M","18","4","93004","5"
"1856","M","56","7","92065","5"
"1857","M","1","10","92106","5"
"1858","F","18","4","59715","5"
"1859","F","25","4","66049","5"
"1860","M","56","16","94591","5"
"1861","M","50","16","92129","5"
"1862","M","50","14","95129","5"
"1863","M","18","4","90048","5"
"1864","M","35","7","94306","5"
"1865","F","18","1","94606","5"
"1866","M","25","7","94043","5"
"1867","M","50","7","95008","5"
"1868","M","50","11","92346","5"
"1869","M","45","14","95148","5"
"1870","M","56","13","85248","5"
"1871","F","45","1","46774","5"
"1872","M","50","20","92106","5"
"1873","M","35","7","02127","5"
"1874","M","45","7","95076","5"
"1875","M","35","12","94107","5"
"1876","M","25","12","92024","5"
"1877","F","45","20","90069","5"
"1878","M","1","10","92846","5"
"1879","M","25","4","29732","5"
"1880","M","35","0","91006","5"
"1881","M","35","2","95008","5"
"1882","M","35","16","92352","5"
"1883","F","50","0","94521","5"
"1884","M","45","20","93108","5"
"1885","M","50","17","94611","5"
"1886","M","25","12","94086","5"
"1887","M","56","15","92119","5"
"1888","M","35","12","95124","5"
"1889","M","18","14","80023","5"
"1890","M","50","6","94702","5"
"1891","M","45","1","91335","5"
"1892","M","25","20","90066","5"
"1893","F","35","0","90024","5"
"1894","F","35","7","94602","5"
"1895","M","35","14","89119","5"
"1896","M","56","13","92115","5"
"1897","F","50","2","94530","5"
"1898","M","25","12","91101","5"
"1899","F","45","6","02135","5"
"1900","M","56","12","94109","5"
"1901","M","50","7","94024","5"
"1902","M","25","19","93536","5"
"1903","M","35","0","90401","5"
"1904","M","18","1","30115","5"
"1905","F","35","20","94118","5"
"1906","F","25","5","91311","5"
"1907","M","35","17","94804","5"
"1908","M","56","13","95129","5"
"1909","M","18","4","89146","5"
"1910","M","1","10","94707","5"
"1911","F","18","4","92805","5"
"1912","M","25","4","91325","5"
"1913","M","25","17","95126","5"
"1914","F","35","14","95051","5"
"1915","M","50","13","01938","5"
"1916","M","45","7","90405","5"
"1917","M","18","10","92704","5"
"1918","F","45","6","95209","5"
"1919","M","1","0","94525","5"
"1920","F","35","7","80122","5"
"1921","M","56","12","92780","5"
"1922","F","25","7","94303","5"
"1923","M","35","7","90026","5"
"1924","F","56","6","90630","5"
"1925","M","50","7","92886","5"
"1926","F","1","0","95404","5"
"1927","M","35","7","94806","5"
"1928","M","1","10","94501","5"
"1929","F","1","10","91107","5"
"1930","M","25","15","94550","5"
"1931","M","25","2","94114","5"
"1932","M","25","7","94114","5"
"1933","M","18","19","94703","5"
"1934","M","25","17","95014","5"
"1935","M","1","10","90405","5"
"1936","M","35","0","90026","5"
"1937","M","25","11","92335","5"
"1938","F","25","2","91351","5"
"1939","F","35","2","94930","5"
"1940","M","25","12","95158","5"
"1941","M","35","17","94550","5"
"1942","M","35","5","04901","5"
"1943","M","18","4","91501","5"
"1944","F","18","4","93107","5"
"1945","M","25","20","92866","5"
"1946","M","25","14","94110","5"
"1947","M","25","7","94041","5"
"1948","M","1","10","93111","5"
"1949","M","18","17","92595","5"
"1950","M","25","12","49024","5"
"1951","F","18","4","90630","5"
"1952","M","35","1","91030","5"
"1953","F","25","2","94566","5"
"1954","M","25","16","91402","5"
"1955","M","1","19","03109","5"
"1956","M","35","0","44280","5"
"1957","F","18","4","23185","5"
"1958","F","25","1","17055","5"
"1959","F","50","13","53092","5"
"1960","M","45","7","55555","5"
"1961","F","50","3","91911","5"
"1962","F","18","1","60914","5"
"1963","F","50","9","91941","5"
"1964","F","25","6","89523","5"
"1965","M","56","17","48304","5"
"1966","M","25","20","93637","5"
"1967","M","50","7","92116","5"
"1968","M","25","11","85258","5"
"1969","F","25","3","92116","5"
"1970","M","50","13","89052","5"
"1971","F","25","14","80230","5"
"1972","M","45","17","92111","5"
"1973","M","25","1","22903","5"
"1974","M","35","17","12159","5"
"1975","M","18","4","97361","5"
"1976","M","35","5","58703","5"
"1977","M","56","6","02726","5"
"1978","M","1","10","43357","5"
"1979","M","56","17","49506","5"
"1980","M","35","7","06460","5"
"1981","M","56","1","80303","5"
"1982","M","1","10","80540","5"
"1983","M","25","14","92109","5"
"1984","M","18","10","92130","5"
"1985","M","45","12","92122","5"
"1986","M","50","13","91977","5"
"1987","M","25","17","62629","5"
"1988","F","25","1","85224","5"
"1989","M","50","6","02090","5"
"1990","M","25","7","85257","5"
"1991","M","25","20","48309","5"
"1992","M","18","4","85259","5"
"1993","M","35","17","99508","5"
"1994","M","35","2","89012","5"
"1995","M","25","1","85364","5"
"1996","M","35","0","85621","5"
"1997","M","25","0","84108","5"
"1998","F","50","9","24018","5"
"1999","F","35","3","02113","5"
"2000","M","18","4","44685","5"
"2001","M","50","1","48197","5"
"2003","M","1","10","80014","5"
"2004","M","45","19","53572","5"
"2005","M","18","4","58601","5"
"2006","M","35","0","66048","5"
"2007","M","50","16","80442","5"
"2008","M","25","3","48220","5"
"2009","F","35","7","60625","5"
"2010","M","18","4","81520","5"
"2011","F","35","3","01545","5"
"2012","M","25","4","49456","5"
"2013","M","45","0","60543","5"
"2014","M","18","4","53233","5"
"2015","M","18","4","01003","5"
"2016","F","56","2","20783","5"
"2017","M","25","17","35808","5"
"2018","M","35","16","46214","5"
"2019","M","50","1","27705","5"
"2020","M","25","7","45011","5"
"2021","M","25","0","61364","5"
"2022","M","25","7","60137","5"
"2023","M","18","4","56001","5"
"2024","M","1","19","06614","5"
"2025","M","56","13","03440","5"
"2026","M","50","16","49277","5"
"2027","F","25","9","48021","5"
"2028","M","45","6","44131","5"
"2029","F","25","12","10011","5"
"2030","M","25","4","77345","5"
"2031","M","35","20","60640","5"
"2032","M","50","14","44614","5"
"2033","F","45","20","91436","5"
"2034","F","45","2","01851","5"
"2035","F","18","0","45212","5"
"2036","F","25","14","90046","5"
"2037","M","56","14","02468","5"
"2038","F","45","1","33301","5"
"2039","M","50","16","60060","5"
"2040","F","25","7","02494","5"
"2041","F","25","20","24015","5"
"2042","M","1","10","79358","5"
"2043","M","25","14","37931","5"
"2044","F","45","0","49408","5"
"2045","F","1","0","24179","5"
"2046","M","35","1","91711","5"
"2047","M","1","10","06437","5"
"2048","M","50","6","49456","5"
"2049","F","50","0","13210","5"
"2050","F","35","3","99504","5"
"2051","M","35","7","93906","5"
"2052","M","1","10","46033","5"
"2053","M","45","11","06416","5"
"2054","M","25","12","03110","5"
"2055","M","50","11","49008","5"
"2056","M","25","4","56301","5"
"2057","M","35","1","49417","5"
"2058","F","56","1","06437","5"
"2059","M","35","0","44130","5"
"2060","M","1","1","48304","5"
"2061","M","56","1","44107","5"
"2062","M","18","4","44646","5"
"2063","M","25","4","43138","5"
"2064","M","35","1","01020","5"
"2065","M","25","6","46807","5"
"2066","F","25","6","53202","5"
"2067","M","50","16","06430","5"
"2068","F","35","12","43528","5"
"2069","M","56","15","79068","5"
"2070","F","35","6","13210","5"
"2071","M","45","7","01605","5"
"2072","F","50","12","21133","5"
"2073","F","18","4","13148","5"
"2074","M","18","4","48197","5"
"2075","F","25","4","13210","5"
"2076","M","18","4","13165","5"
"2077","M","18","0","55112","5"
"2078","M","18","4","13323","5"
"2079","M","1","10","45241","5"
"2080","M","25","11","37931","5"
"2081","M","18","17","49445","5"
"2082","M","1","19","48323","5"
"2083","M","18","4","64920","5"
"2084","M","18","4","23186","5"
"2085","M","18","0","06360","5"
"2086","M","35","14","48328","5"
"2088","M","50","7","60618","5"
"2089","M","35","17","17601","5"
"2090","M","35","17","48313","5"
"2091","F","35","20","48044","5"
"2092","M","56","1","49006","5"
"2093","M","18","0","48322","5"
"2094","M","35","2","60061","5"
"2095","M","56","13","58504","5"
"2096","F","25","17","33990","5"
"2097","M","18","5","48504","5"
"2098","M","35","20","48067","5"
"2099","F","18","0","48823","5"
"2100","F","25","0","24017","5"
"2101","M","25","16","48309","5"
"2102","M","25","11","48825","5"
"2103","M","35","12","03062","5"
"2104","M","45","15","60035","5"
"2105","M","25","1","24060","5"
"2107","M","25","1","24060","5"
"2108","M","1","10","60462","5"
"2109","M","25","16","13090","5"
"2110","M","50","11","46802","5"
"2111","M","56","13","32806","5"
"2112","F","45","12","23116","5"
"2113","M","25","6","04456","5"
"2114","M","18","18","21740","5"
"2115","M","35","17","01519","5"
"2116","M","18","4","49546","5"
"2117","M","56","13","49307","5"
"2118","M","25","14","02148","5"
"2119","M","35","4","10036","5"
"2120","M","1","0","02780","5"
"2121","M","56","13","02356","5"
"2122","M","35","12","61614","5"
"2123","F","35","0","13064","5"
"2124","M","25","0","12306","5"
"2125","M","35","3","46033","5"
"2126","M","56","14","02632","5"
"2127","M","18","4","12309","5"
"2128","F","45","1","46737","5"
"2129","M","25","5","04103","5"
"2130","M","45","0","03060","5"
"2131","M","25","0","01701","5"
"2132","M","56","14","02632","5"
"2133","F","1","10","01607","5"
"2134","M","18","10","02780","5"
"2135","M","50","1","01778","5"
"2136","M","35","18","13027","5"
"2137","F","1","10","00681","5"
"2138","F","18","4","88119","5"
"2139","F","50","3","33615","5"
"2140","M","45","14","46804","5"
"2141","F","50","16","48706","5"
"2142","F","45","14","46804","5"
"2143","M","18","4","32607","5"
"2144","M","18","0","46517","5"
"2145","M","18","10","32750","5"
"2146","M","18","2","96002","5"
"2147","F","18","0","60641","5"
"2148","F","18","0","81301","5"
"2149","M","25","0","60089","5"
"2150","F","18","4","22904","5"
"2151","M","56","13","33316","5"
"2152","M","18","4","22807","5"
"2153","M","18","16","97405","5"
"2154","M","25","12","68508","5"
"2155","F","1","10","50246","5"
"2156","M","18","19","55912","5"
"2157","F","18","3","45244","5"
"2158","M","25","12","60618","5"
"2159","F","50","14","60618","5"
"2160","F","18","19","46556","5"
"2161","F","35","2","95521","5"
"2162","F","1","10","35810","5"
"2163","M","18","0","87122","5"
"2164","M","35","0","95826","5"
"2165","M","25","7","32836","5"
"2166","M","1","10","99203","5"
"2167","F","25","6","95833","5"
"2168","M","1","10","60202","5"
"2169","M","1","0","95451","5"
"2170","F","50","16","99114","5"
"2171","M","35","0","48103","5"
"2172","M","18","20","60641","5"
"2173","M","50","13","87502","5"
"2174","M","50","12","87505","5"
"2175","M","25","4","99217","5"
"2176","M","1","19","73505","5"
"2177","F","35","20","95451","5"
"2178","M","45","14","85251","5"
"2179","F","25","0","28304","5"
"2181","M","25","0","45245","5"
"2182","F","25","4","60443","5"
"2183","F","56","1","11795","5"
"2184","M","18","4","45403","5"
"2185","M","45","17","27502","5"
"2186","M","18","5","41018","5"
"2187","M","45","16","60126","5"
"2188","F","18","19","60641","5"
"2189","M","1","10","60148","5"
"2190","F","25","15","27603","5"
"2191","M","18","4","45231","5"
"2192","F","25","0","27713","5"
"2193","M","1","10","41011","5"
"2194","M","25","17","45233","5"
"2195","M","1","10","60148","5"
"2196","M","25","12","45140","5"
"2197","F","25","1","27515","5"
"2198","F","35","9","46815","5"
"2199","M","1","10","60613","5"
"2200","M","35","1","60016","5"
"2201","M","56","20","46804","5"
"2202","F","1","10","11743","5"
"2203","M","45","12","53718","5"
"2204","M","56","3","94941","5"
"2205","F","25","7","10016","5"
"2206","M","45","7","11201","5"
"2207","M","18","4","07508","5"
"2208","M","25","0","10006","5"
"2209","M","35","7","10011","5"
"2211","M","45","6","01950","5"
"2212","M","18","4","80521","5"
"2213","F","25","0","60622","5"
"2214","F","25","1","46807","5"
"2215","F","25","0","93940","5"
"2216","F","25","20","60612","5"
"2217","M","1","10","44906","5"
"2218","M","35","17","64153","5"
"2219","M","25","6","60060","5"
"2221","M","56","17","94931","5"
"2222","F","45","1","13088","5"
"2223","M","25","2","60123","5"
"2224","M","25","12","60025","5"
"2225","M","25","5","96815","5"
"2226","F","25","7","27514","5"
"2227","M","50","14","60016","5"
"2228","M","25","12","60025","5"
"2229","M","45","0","61821","5"
"2230","F","45","1","60302","5"
"2231","M","50","11","85726","5"
"2232","M","25","14","60061","5"
"2233","F","35","3","60187","5"
"2234","M","56","1","85718","5"
"2235","M","1","10","46324","5"
"2236","M","1","10","96782","5"
"2237","F","35","6","14905","5"
"2238","F","25","4","32607","5"
"2239","M","18","10","60148","5"
"2240","M","45","12","64117","5"
"2241","M","45","5","60647","5"
"2242","M","18","4","60115","5"
"2243","M","45","2","86701","5"
"2244","M","1","10","60565","5"
"2245","M","1","10","60007","5"
"2246","M","25","0","60622","5"
"2247","M","45","2","60613","5"
"2248","F","35","12","46755","5"
"2249","M","25","5","60466","5"
"2250","M","18","19","60010","5"
"2251","M","35","14","60626","5"
"2252","F","18","1","01562","5"
"2253","F","50","0","46815","5"
"2254","M","35","5","33317","5"
"2255","F","35","6","44303","5"
"2256","F","45","15","59840","5"
"2257","F","18","4","59715","5"
"2258","F","18","4","10033","5"
"2259","F","56","16","70503","5"
"2260","F","25","20","46835","5"
"2261","M","25","5","33025","5"
"2262","M","45","17","48116","5"
"2263","M","25","6","70508","5"
"2264","F","45","7","37877","5"
"2265","M","56","13","60506","5"
"2266","F","50","2","48118","5"
"2267","F","56","13","37774","5"
"2268","F","35","1","46774","5"
"2269","F","45","0","11217","5"
"2270","M","18","1","14620","5"
"2271","M","50","14","13210","5"
"2272","M","25","0","71731","5"
"2273","M","25","6","23235","5"
"2274","M","18","2","31401","5"
"2275","M","56","7","39211","5"
"2276","M","56","13","44143","5"
"2277","F","45","9","13035","5"
"2278","M","50","17","01536","5"
"2279","M","50","7","08816","5"
"2280","M","56","6","74105","5"
"2281","M","45","11","48104","5"
"2282","M","50","2","32117","5"
"2283","M","35","18","44708","5"
"2284","M","25","20","90024","5"
"2285","F","1","10","13090","5"
"2286","M","35","17","82604","5"
"2287","M","56","0","06082","5"
"2288","M","1","10","13066","5"
"2289","F","50","1","52002","5"
"2290","M","25","0","61021","5"
"2291","M","45","1","13214","5"
"2292","M","50","15","13039","5"
"2293","F","56","3","48130","5"
"2294","M","56","13","48108","5"
"2295","M","45","11","72316","5"
"2296","F","25","6","22923","5"
"2297","M","56","13","52003","5"
"2298","M","35","17","77584","5"
"2299","F","18","10","13090","5"
"2300","M","56","13","49423","5"
"2301","F","25","12","02478","5"
"2302","M","50","12","48104","5"
"2303","M","50","17","08055","5"
"2304","M","45","12","94103","5"
"2305","M","50","20","48104","5"
"2306","F","18","4","02138","5"
"2307","M","25","17","02140","5"
"2308","F","45","16","48103","5"
"2309","F","45","0","08901","5"
"2310","M","45","12","48130","5"
"2311","F","25","4","22902","5"
"2312","M","45","0","13131","5"
"2314","F","25","1","13210","5"
"2315","M","56","7","48114","5"
"2316","M","35","0","13207","5"
"2317","F","45","9","57108","5"
"2318","M","56","7","48114","5"
"2319","M","35","7","48104","5"
"2320","F","50","1","06043","5"
"2321","M","25","7","30115","5"
"2322","F","56","13","48105","5"
"2323","M","35","3","13088","5"
"2324","M","35","17","50321","5"
"2325","F","18","4","27708","5"
"2326","M","18","4","01040","5"
"2327","M","18","10","48169","5"
"2328","M","56","7","13212","5"
"2329","F","56","15","97367","5"
"2330","M","45","7","48103","5"
"2331","M","56","1","48104","5"
"2332","M","56","14","01545","5"
"2333","M","50","6","13035","5"
"2334","F","56","7","01562","5"
"2335","M","50","17","48197","5"
"2336","M","35","18","13146","5"
"2337","M","35","17","49424","5"
"2338","M","45","17","13152","5"
"2339","F","56","3","52003","5"
"2340","M","35","2","48104","5"
"2341","M","56","1","13210","5"
"2342","M","35","3","48107","5"
"2343","F","45","1","01604","5"
"2344","M","25","12","02139","5"
"2345","M","35","16","98031","5"
"2346","F","1","10","48105","5"
"2347","M","35","1","48116","5"
"2348","M","50","12","06082","5"
"2349","M","25","8","50309","5"
"2350","M","18","4","44312","5"
"2351","F","25","0","11106","5"
"2352","M","50","13","41076","5"
"2353","F","35","9","61270","5"
"2354","M","35","11","94306","5"
"2355","F","45","9","13203","5"
"2356","F","50","16","13207","5"
"2357","F","35","14","13316","5"
"2358","F","56","6","06074","5"
"2359","M","56","13","13685","5"
"2360","M","50","6","13210","5"
"2361","M","56","7","49423","5"
"2362","M","25","14","94110","5"
"2363","M","50","14","95823","5"
"2364","F","56","9","13078","5"
"2365","M","50","7","13203","5"
"2366","F","45","16","01532","5"
"2367","F","25","9","49424","5"
"2368","F","56","13","13057","5"
